Record1;Record2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0003-BGD;2000-0023-BGD;295.0;0.0;0.98;0.98;2000-01-01 00:00:00+00:00;2000-01-02 00:00:00+00:00;1.0
2000-0033-CHN;2000-0036-CHN;468714.0;1.0;1.0;1.0;2000-01-14 00:00:00+00:00;2000-01-26 00:00:00+00:00;12.0
2000-0067-USA;2000-0919-USA;193375.0;0.32;0.11;0.32;2000-02-13 00:00:00+00:00;2000-01-22 00:00:00+00:00;22.0
2000-0076-ISL;2000-0335-ISL;129460.0;0.7;1.0;1.0;2000-06-21 00:00:00+00:00;2000-06-17 00:00:00+00:00;4.0
2000-0232-USA;2000-0297-USA;8866.0;0.03;1.0;1.0;2000-05-06 00:00:00+00:00;2000-05-23 00:00:00+00:00;17.0
2000-0272-TUR;2000-0381-TUR;1078.0;1.0;0.0;1.0;2000-05-07 00:00:00+00:00;2000-06-01 00:00:00+00:00;25.0
2000-0276-MEX;2000-0317-MEX;1806.0;0.01;1.0;1.0;2000-05-13 00:00:00+00:00;2000-05-30 00:00:00+00:00;17.0
2000-0281-TUR;2000-0381-TUR;33787.0;1.0;0.03;1.0;2000-05-27 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0283-BGD;2000-0294-BGD;7995.0;0.39;0.22;0.39;2000-05-27 00:00:00+00:00;2000-05-23 00:00:00+00:00;4.0
2000-0291-TUR;2000-0381-TUR;5972.0;1.0;0.0;1.0;2000-06-06 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0296-USA;2000-9339-USA;2930.0;1.0;0.0;1.0;2000-05-19 00:00:00+00:00;2000-06-01 00:00:00+00:00;13.0
2000-0297-USA;2000-9339-USA;6667.0;0.75;0.0;0.75;2000-05-23 00:00:00+00:00;2000-06-01 00:00:00+00:00;9.0
2000-0298-CHN;2000-0302-CHN;652556.0;1.0;0.37;1.0;2000-06-06 00:00:00+00:00;2000-05-31 00:00:00+00:00;6.0
2000-0302-CHN;2000-0326-CHN;877569.0;0.5;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-05 00:00:00+00:00;5.0
2000-0302-CHN;2000-0376-CHN;221945.0;0.13;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-08 00:00:00+00:00;8.0
2000-0310-CHL;2000-0423-CHL;53415.0;1.0;0.1;1.0;2000-06-05 00:00:00+00:00;2000-07-03 00:00:00+00:00;28.0
2000-0326-CHN;2000-0376-CHN;221422.0;0.25;1.0;1.0;2000-06-05 00:00:00+00:00;2000-06-08 00:00:00+00:00;3.0
2000-0380-ROU;2000-9328-ROU;14389.0;0.97;0.16;0.97;2000-07-01 00:00:00+00:00;2000-06-01 00:00:00+00:00;30.0
