Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0003-BGD;2000-0146-BGD;2322.0;0.01;1.0;1.0;2000-01-01 00:00:00+00:00;2000-03-05 00:00:00+00:00;64.0
2000-0021-USA;2000-0080-USA;166425.0;1.0;0.44;1.0;2000-01-02 00:00:00+00:00;2000-02-18 00:00:00+00:00;47.0
2000-0029-BGR;2000-9788-BGR;13211.0;1.0;0.06;1.0;2000-01-01 00:00:00+00:00;2000-03-01 00:00:00+00:00;60.0
2000-0033-CHN;2000-0036-CHN;468714.0;1.0;1.0;1.0;2000-01-14 00:00:00+00:00;2000-01-26 00:00:00+00:00;12.0
2000-0076-ISL;2000-0335-ISL;129460.0;0.7;1.0;1.0;2000-06-21 00:00:00+00:00;2000-06-17 00:00:00+00:00;4.0
2000-0175-USA;2000-9339-USA;3286.0;1.0;0.0;1.0;2000-03-28 00:00:00+00:00;2000-06-01 00:00:00+00:00;65.0
2000-0200-CHN;2000-0302-CHN;211993.0;1.0;0.12;1.0;2000-04-13 00:00:00+00:00;2000-05-31 00:00:00+00:00;48.0
2000-0232-USA;2000-0297-USA;8866.0;0.03;1.0;1.0;2000-05-06 00:00:00+00:00;2000-05-23 00:00:00+00:00;17.0
2000-0257-PHL;2000-0396-PHL;37.0;0.0;1.0;1.0;2000-05-18 00:00:00+00:00;2000-07-05 00:00:00+00:00;48.0
2000-0272-TUR;2000-0381-TUR;1078.0;1.0;0.0;1.0;2000-05-07 00:00:00+00:00;2000-06-01 00:00:00+00:00;25.0
2000-0276-MEX;2000-0317-MEX;1806.0;0.01;1.0;1.0;2000-05-13 00:00:00+00:00;2000-05-30 00:00:00+00:00;17.0
2000-0277-RUS;2000-0457-RUS;22270.0;0.0;1.0;1.0;2000-05-13 00:00:00+00:00;2000-07-19 00:00:00+00:00;67.0
2000-0281-TUR;2000-0381-TUR;33787.0;1.0;0.03;1.0;2000-05-27 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0291-TUR;2000-0381-TUR;5972.0;1.0;0.0;1.0;2000-06-06 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0296-USA;2000-9339-USA;2930.0;1.0;0.0;1.0;2000-05-19 00:00:00+00:00;2000-06-01 00:00:00+00:00;13.0
2000-0298-CHN;2000-0302-CHN;652556.0;1.0;0.37;1.0;2000-06-06 00:00:00+00:00;2000-05-31 00:00:00+00:00;6.0
2000-0302-CHN;2000-0326-CHN;877569.0;0.5;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-05 00:00:00+00:00;5.0
2000-0302-CHN;2000-0376-CHN;221945.0;0.13;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-08 00:00:00+00:00;8.0
2000-0302-CHN;2000-0426-CHN;656224.0;0.38;1.0;1.0;2000-05-31 00:00:00+00:00;2000-07-18 00:00:00+00:00;48.0
2000-0310-CHL;2000-0423-CHL;53415.0;1.0;0.1;1.0;2000-06-05 00:00:00+00:00;2000-07-03 00:00:00+00:00;28.0
2000-0323-IND;2000-0445-IND;173839.0;1.0;0.1;1.0;2000-10-17 00:00:00+00:00;2000-08-02 00:00:00+00:00;76.0
2000-0323-IND;2000-0785-IND;173839.0;1.0;0.88;1.0;2000-10-17 00:00:00+00:00;2000-11-29 00:00:00+00:00;43.0
2000-0326-CHN;2000-0376-CHN;221422.0;0.25;1.0;1.0;2000-06-05 00:00:00+00:00;2000-06-08 00:00:00+00:00;3.0
2000-0326-CHN;2000-0426-CHN;656224.0;0.75;1.0;1.0;2000-06-05 00:00:00+00:00;2000-07-18 00:00:00+00:00;43.0
2000-0337-UKR;2000-0427-UKR;51806.0;0.04;1.0;1.0;2000-05-01 00:00:00+00:00;2000-07-05 00:00:00+00:00;65.0
2000-0337-UKR;2000-0603-UKR;71621.0;0.05;1.0;1.0;2000-05-01 00:00:00+00:00;2000-07-25 00:00:00+00:00;85.0
2000-0350-CHN;2000-0533-CHN;152067.0;1.0;0.53;1.0;2000-06-17 00:00:00+00:00;2000-08-23 00:00:00+00:00;67.0
